lang,id,author_id,edit_history_tweet_ids,created_at,text
en,1595135096432250880,385347340,['1595135096432250880'],2022-11-22T19:20:17.000Z,"An appeal lodged by farmer Thomas Lane convicted of illegally felling trees in Gower has been dismissed. More than eight hectares of woodland were cut down - the equivalent of 12 football pitches in what was called a ""devastating"" loss of habitat https://t.co/3K2YTGORJ4"
en,1595134502577516544,385347340,['1595134502577516544'],2022-11-22T19:17:56.000Z,"Terrifying footage shows the moment an explosion blew out windows during a flat fire started by a woman at her home. Sabina Khanom, 27, was jailed for arson after she set fire to her sofa at her Newport flat and tried to run back into the property https://t.co/uFIyvGDEjc"
en,1595134104340615168,385347340,['1595134104340615168'],2022-11-22T19:16:21.000Z,"Cannabis dealer Lee Thomas was caught after his phone was seized by police and messages relating to drug dealing were discovered. He was said to have played a ""significant role"" and was expected to be making a steady profit https://t.co/EIKC5IHSBR"
en,1594727954210324488,385347340,['1594727954210324488'],2022-11-21T16:22:27.000Z,One of the most disturbing sentencings I've covered. Husband and wife David and Kim Crapper raped and sexually abused a young girl as she cried. They took advantage of her repeatedly and told police they were in love with the under aged girl https://t.co/cZ9SpEppJ3
en,1593634898782347264,385347340,['1593634898782347264'],2022-11-18T15:59:02.000Z,Richard Rees was caught by police after they discovered messages advertising cocaine on phones seized during arrests of associates. A court heard he became involved in dealing Class A drugs in order to fund his own addiction https://t.co/dS1bX3cwVc
en,1593586149724921857,385347340,['1593586149724921857'],2022-11-18T12:45:20.000Z,"Sabina Khanom set fire to her Newport flat by lighting bits of tissue on her settee and pouring flammable liquid on it. She was restrained by a neighbour as she tried to get back into the flat, saying 'I have to get my baby's clothes' https://t.co/G2Wb49Nb81"
en,1593562609374048256,385347340,['1593562609374048256'],2022-11-18T11:11:47.000Z,"@cflaypetty Hi Claire, I'm a journalist from Wales Online. Would you be able to follow me back so I can send you a DM regarding a feature I'm working on regarding Dorothy Edwards? Thank you"
en,1593292245540782088,385347340,['1593292245540782088'],2022-11-17T17:17:27.000Z,"Remembering Mari O'Flynn, her family said: ""We will always try to remember mam for her sparkle, repeating her funny stories about the good times she had living in Greece, or hogging the TV to watch all the sport, whilst drinking endless cups of tea."" https://t.co/P4kjXYIK5X"
en,1593232367464099840,385347340,['1593232367464099840'],2022-11-17T13:19:31.000Z,"Simon Parks was jealous of his mother-in-law Mari O'Flynn after she moved into the home he shared with his partner. After she refused him cigarettes he punched her, strangled her and sexually assaulted her. He has been jailed for life. https://t.co/3u4Hnx9M4N"
en,1593190206819414016,385347340,['1593190206819414016'],2022-11-17T10:32:00.000Z,RT @TheCriminalBar: The CBA is deeply concerned by the frequency of complaints and issues being raised with us regarding current listing pr…
en,1592911280482168832,385347340,['1592911280482168832'],2022-11-16T16:03:38.000Z,Man attacked neighbour then torched caravan with victim inside https://t.co/5fsQq3L6fY
en,1592573419841007616,385347340,['1592573419841007616'],2022-11-15T17:41:06.000Z,Morgan Wainewright has admitted  causing the death of Andrew Nicholas during an incident in Monmouth. He will be sentenced on December 22 https://t.co/l92pNmMX7E
en,1592465178574356480,385347340,['1592465178574356480'],2022-11-15T10:30:59.000Z,"RT @WalesOnline: A swimming teacher carried out a long-standing and harrowing ""campaign of sexual abuse"" on five young girls  - leaving the…"
en,1592166254915518464,385347340,['1592166254915518464'],2022-11-14T14:43:10.000Z,"Gareth Marshall took his partner's mother's car without permission and crashed it during a police chase which resulted in the vehicle landing on its side. He had earlier sworn at another driver and called him a ""c***"" https://t.co/RrGwOEXHLw"
en,1592137127579582464,385347340,['1592137127579582464'],2022-11-14T12:47:26.000Z,Dafydd Merkel punched a door off its hinges as his partner and her children hid in her bedroom before trashing her house and smashing a mirror. He went on to put a hole in her car windscreen and threatened to smash up her shop https://t.co/hTpqm7WEdp
en,1591216615500447744,385347340,['1591216615500447744'],2022-11-11T23:49:39.000Z,"Darren Smith denies he was the person who lit a petrol fire in his neighbour Richard Thomas' caravan which caused his death. He also denies assaulting the victim, who died of severe burns https://t.co/yF4RViib27"
en,1591215632434855937,385347340,['1591215632434855937'],2022-11-11T23:45:44.000Z,Macauley Davies and Bradley Bullock broke into a vulnerable man's home before demanding sandwiches and crisps and repeatedly punched him when he gave them the wrong PIN number to his card. Davies told the victim 'Do you want to die tonight?' https://t.co/jDZEt4m1PM
en,1591155298588274688,385347340,['1591155298588274688'],2022-11-11T19:46:00.000Z,"RT @PippaCrerar: Multiple sources told @guardian that Raab had created “culture of fear” at MoJ, alleging his behaviour towards civil serva…"
en,1591132540659978240,385347340,['1591132540659978240'],2022-11-11T18:15:34.000Z,"Tomasz Waga died from blunt impact to his head and chest caused by stamps and fists, a court has heard. The 23-year-old was found dead in Cardiff having received injuries to his head and mouth, his ribs, arms and bruising to his brain https://t.co/qKNmrBn2vV"
en,1591129533415313408,385347340,['1591129533415313408'],2022-11-11T18:03:37.000Z,Really enjoyed @bysianharrison’s media law lecture at the @PA Festival of Journalism today. Was great to be back at @CardiffJomec in their new campus. Quite different to the Bute building back in my days as a student
en,1590691300826677248,385347340,['1590691300826677248'],2022-11-10T13:02:14.000Z,"Richard Thomas suffered blunt force trauma to his head and chest which may have left him unconscious and unable to escape, a court has heard. His neighbour Darren Smith denies murder by setting fire to the caravan. https://t.co/oHmH0o6s5F"
en,1590650898782748672,385347340,['1590650898782748672'],2022-11-10T10:21:41.000Z,"Jason Edwards and Lee Strickland murdered Dr Gary Jenkins in a sickening and homophobic attack along with teenager Dionne Timms-Williams. They all received life sentences, which were upheld by the Court of Appeal https://t.co/uGWekPQSDv"
en,1590388019080491008,385347340,['1590388019080491008'],2022-11-09T16:57:06.000Z,Bradley Bullock took advantage of a 15-year-old girl and raped her while she was vomiting after she had been plied with alcohol. He also sexually assaulted members of staff and a patient at a mental health hospital after he was sectioned https://t.co/SpGcJw0Oq6
en,1590353000564129792,385347340,['1590353000564129792'],2022-11-09T14:37:57.000Z,"Carl Davies denies he and Tomasz Waga were the ""aggressors"" during a confrontation with members of an Albanian crime gang at a cannabis factory. Mr Waga was later found dead in the street in Cardiff after allegedly being murdered by members of the gang https://t.co/8xC8o2KzsL"
en,1590285570605223936,385347340,['1590285570605223936'],2022-11-09T10:10:00.000Z,"RT @pressgazette: LBC journalist @charlotterlynch has spoken about her ordeal after being arrested, searched, swabbed and jailed for five h…"
en,1589913604169814018,385347340,['1589913604169814018'],2022-11-08T09:31:57.000Z,"Mario Qato has been found not guilty of murdering Tomasz Waga after the prosecution in the trial offered no evidence. Gledis Mehalla, Mihal Dhana, Josif Nushi and Hysland Aliaj continue to face trial https://t.co/Yl5T9a9QSV"
en,1589913066233208832,385347340,['1589913066233208832'],2022-11-08T09:29:48.000Z,A forensic scientist described how a caravan fire which caused the death of Richard Thomas was ignited by petrol fumes. Darren Smith denies murder https://t.co/S3CB9QWCVK
en,1589569682876825606,385347340,['1589569682876825606'],2022-11-07T10:45:19.000Z,"RT @ThirtyPP: We are delighted to announce that Kevin Seal, David Pinnell and Paul Hewitt have joined our Criminal Team."
en,1587106773290336257,385347340,['1587106773290336257'],2022-10-31T15:38:36.000Z,A woman begged a hotel receptionist for help after her partner Shane Cotty punched her in the face and smashed up her mobile phone. He later hit her again as they took a taxi back to her house https://t.co/Cz3TUbvHAr
en,1587055530840915968,385347340,['1587055530840915968'],2022-10-31T12:14:59.000Z,"Daniel Joseph wore a balaclava and tried to escape through a kitchen window after a house was raided by police. He and others were found in possession of heroin, cocaine and cannabis.
https://t.co/I0H36smq4r"
en,1586008572009525250,385347340,['1586008572009525250'],2022-10-28T14:54:44.000Z,"Normunds Freibergs, Jokubas Stankevicius and Ruta Stankeviciene forced a Latvian man to work and took his wages after it was arranged for him to move to Wales. The victim was vulnerable and turned up to work in the same dirty clothes every day https://t.co/9LlPD6u9jm"
en,1585942480645607424,385347340,['1585942480645607424'],2022-10-28T10:32:07.000Z,Anthony Kinsler sent videos of himself masturbating to who he thought was a 12-year-old boy. Upon his arrest he was found in possession of photos of child sex abuse including children as young as six https://t.co/a1C6MOa9oG
en,1585654909063643136,385347340,['1585654909063643136'],2022-10-27T15:29:25.000Z,"Jake James, described by his partner as ""an animal"", bit her and attempted to snap her leg. He also punched her in the head repeatedly after wrongly accusing her of cheating on him https://t.co/6iDffLzn5p"
en,1585591935351267328,385347340,['1585591935351267328'],2022-10-27T11:19:10.000Z,Georgie Cox took a bike and an iPhone from a man with learning difficulties who he threatened to punch in the face. And then after stealing the phone he smashed it to smithereens https://t.co/a09aKDiVHw
en,1585580414776795136,385347340,['1585580414776795136'],2022-10-27T10:33:24.000Z,"RT @WalesOnline: Police inspector who assaulted teenage boy will 'certainly lose his job'
https://t.co/tcNQtsBfum https://t.co/HLd0x7XmEJ"
en,1585578832454733830,385347340,['1585578832454733830'],2022-10-27T10:27:06.000Z,I'm back at Newport Crown Court today for the trial of five men accused of murdering Tomasz Waga in Cardiff. The court previously heard he was beaten to death and dumped in the road by members of an Albanian criminal gang https://t.co/0rfFlHn2AA
en,1585563299286077440,385347340,['1585563299286077440'],2022-10-27T09:25:23.000Z,"Matthew Wreford was discovered raping an underage girl in bed. He later claimed he was cuddling the child but messages on his phone revealed he had been grooming her
https://t.co/8L85QlAvbQ"
en,1585321566342352896,385347340,['1585321566342352896'],2022-10-26T17:24:49.000Z,RT @PippaCrerar: Absolutely thrilled to have won Journalist of the Year at the @londonpressclub awards. Such an honour. It isn’t always the…
en,1585261653817540608,385347340,['1585261653817540608'],2022-10-26T13:26:45.000Z,"The trial of five men accused of murdering Tomasz Waga has begun. The court heard Mr Waga travelled from London to Cardiff to steal cannabis from a commercial scale operation but was beaten to death by an ""organised criminal gang of Albanian nationals"" https://t.co/0rfFlHn2AA"
en,1585237881979043842,385347340,['1585237881979043842'],2022-10-26T11:52:18.000Z,Gary Matthews punched and strangled his former partner days after he was released from prison. He hit her so hard she fell back and hit her head on a coffee table https://t.co/BZE1Co5wS6
en,1585221627637567489,385347340,['1585221627637567489'],2022-10-26T10:47:42.000Z,"Paul Allen left one of his victims suicidal and went on to abuse another boy while on bail and under investigation. A judge said Allan had an ""insatiable interest"" in child sex abuse https://t.co/wOUHYjB83e"
en,1585221220622290945,385347340,['1585221220622290945'],2022-10-26T10:46:05.000Z,"RT @BarristerSecret: Dominic Raab:

The Greatest Hits 💽💽💽

In his most recent spell as Justice Secretary, @DominicRaab achieved the followi…"
en,1585189793881034752,385347340,['1585189793881034752'],2022-10-26T08:41:12.000Z,Tyler O'Connell was caught on camera placing victim Dean Lock in a headlock inside Barry rugby club before knocking him out with a single punch outside   https://t.co/lx4PcCHwWW
en,1584942910554124288,385347340,['1584942910554124288'],2022-10-25T16:20:11.000Z,"The re-appointment of Dominic Raab to Justice Secretary is a decision I imagine will be met with open arms by barristers, solicitors and the whole of the legal profession 🫤 https://t.co/lEAC2DEWlY"
en,1584884012900036609,385347340,['1584884012900036609'],2022-10-25T12:26:09.000Z,"RT @BrandonLewis: An honour to have been one of the longest serving Cabinet ministers - having done eight ministerial roles, in five depart…"
en,1584854085026840576,385347340,['1584854085026840576'],2022-10-25T10:27:13.000Z,"I'm at Newport Crown Court today for the trial of Gledis Mehalla, Mihal Dhana, Mario Qato, Josif Nushi, and Hysland Aliaj who are accused of murdering Tomasz Waga in Cardiff in January last year. A jury panel has been sent away to review questionnaires"
en,1583756842773057537,385347340,['1583756842773057537'],2022-10-22T09:47:10.000Z,Jordan Horder killed grandmother Mary Phillips as she walked across a pelican crossing Cwmbran. The driver failed to see having suffered from deteriorating eyesight which left him effectively blind in one eye https://t.co/K5COGvwvDD
en,1583493819529428997,385347340,['1583493819529428997'],2022-10-21T16:22:01.000Z,Caine Wells stamped on the leg of Dean Lock following a brawl at Barry rugby club after he had been knocked unconscious by Tyler O'Connell. The victim suffered a broken leg as a result https://t.co/pehgj3TmgY
en,1583147842046070784,385347340,['1583147842046070784'],2022-10-20T17:27:13.000Z,Paige Webber was inhaling nitrous oxide from a balloon before she passed out behind the wheel and crashed into a tree. Her passenger Tyla Murrell fractured her ankle with the bone protruding through her skin https://t.co/bpWsFO4H7I
en,1583087101079609345,385347340,['1583087101079609345'],2022-10-20T13:25:51.000Z,"RT @PrifWeinidog: This has been a complete and utter failure of government with everyone in this country now having to pay the price.

The…"
en,1583085603260100610,385347340,['1583085603260100610'],2022-10-20T13:19:54.000Z,RT @WalesOnline: Liz Truss resigns after just weeks as PM #liztruss #liztrussresigns https://t.co/VqTGNauqk9
en,1583057546973040640,385347340,['1583057546973040640'],2022-10-20T11:28:25.000Z,"Parents had to rescue their son from their burning home after intoxicated arsonist Mark Saunders set fire to their front door. The family thought they were ""going to die"" but were left unscathed after a neighbour alerted them https://t.co/ruvyJIlTzv"
en,1583053583557480449,385347340,['1583053583557480449'],2022-10-20T11:12:40.000Z,"@ginny80577673 @WalesOnline Hi Ginny, thanks for pointing this out. Will get it changed ASAP"
en,1583040104410451968,385347340,['1583040104410451968'],2022-10-20T10:19:07.000Z,Neal Jones filmed himself having sex and sexually assaulting a woman while she was passed out. She later discovered the videos on her phone which left her feeling humiliated and suicidal https://t.co/jAOSGzdZAL
