edit_history_tweet_ids,author_id,lang,text,id,created_at
['1595130845630980096'],1523281617535393792,en,"Vastu tip How is main entrance door for welcoming positive energy. 
#lamaferahealing #dimplelaumas #protection #vedicculture #initiation #vedicculture #hunkara #attunement #frequency #vaastu #entrance #positivevibes #abundance #wealth #house #residence #goodluck #vastutips https://t.co/LkaYybbOw2",1595130845630980096,2022-11-22T19:03:24.000Z
['1594377731818811393'],1523281617535393792,en,"Satyamargi mudra dhyan 
Health is wealth. A healthy body, mind and soul are the basis of a happy life. 
In Satyamargi Mudra Dhyan, a total of 20 Mudras are taught at a beginner level. These mudras carry immense benefits for the learner. 
 #SOUL #Peace #meditation https://t.co/g0LhHybAzZ",1594377731818811393,2022-11-20T17:10:48.000Z
['1594003251317604353'],1523281617535393792,en,"Health is wealth. A healthy body, mind and soul are the basis of a happy life.
In Satyamargi Mudra Dhyan, a total of 20 Mudras are taught at a beginner level.
 benefits-To cure chronic diseases.
You can reach us at Vedic Culture 9978478523/ 799063613 https://t.co/DHJoBFKRBP",1594003251317604353,2022-11-19T16:22:44.000Z
['1593658029555470336'],1523281617535393792,en,"SATYAMARGI MUDRA DHYAN part-1 
https://t.co/k3J2zsUnPq
""Health is Wealth""  ,Healthy body, mind and soul is the basis of happy life. 
Benifits-
1- To cure chronic diseases or to achieve mental peace.
2- To complete spritual journey and awaken kundalini powers.#meditation #health https://t.co/juPCxdQ8rH",1593658029555470336,2022-11-18T17:30:57.000Z
['1593253379043917824'],1523281617535393792,en,"Shalvik mantra rahasaya-
It's a three day workshop most important part is Inistation (Shaktipat) process with mantra diksha.  Traditional Inistation is necessary so that guru/master will transmit the power  in their students. https://t.co/PX9eI2YcOU",1593253379043917824,2022-11-17T14:43:01.000Z
['1592966712915554305'],1523281617535393792,en,"Shalvik mantra rahasaya-
It's a three day workshop most important part is Inistation (Shaktipat) process with mantra diksha.  Traditional Inistation is necessary so that guru/master will transmit the power  in their students. #carrier #students #bussiness #healingstreams https://t.co/DIXE2uXA9H",1592966712915554305,2022-11-16T19:43:54.000Z
['1592580567933288448'],1523281617535393792,en,"Shalvik mantra rahasaya-
It's a three day workshop most important part is Inistation (Shaktipat) process with mantra diksha.  Traditional Inistation is necessary so that guru/master will transmit the power  in their students. https://t.co/Ky6uwCHPOB",1592580567933288448,2022-11-15T18:09:30.000Z
['1592171545430208512'],1523281617535393792,en,"Shalvik mantra rahasaya- part 3
Traditional Inistation is necessary so that guru/master will transmit the power  in their students. A very easy and perfect process to findout root cause of any problem.#spiritualcoatch #shalvik #mantras #Lamafera https://t.co/8sgOmPIBHi",1592171545430208512,2022-11-14T15:04:12.000Z
['1591834419366662145'],1523281617535393792,en,"Shalvik mantra rahasya part-2, Traditional Inistation is necessary so that guru/master will transmit the power  in their students. A very easy and perfect process for removing issues from root cause.#student #memory #brain #chanakyaa #maadevyani https://t.co/40vTAQ5ZZf",1591834419366662145,2022-11-13T16:44:35.000Z
['1591498064518578177'],1523281617535393792,en,"Shalvik mantra rahasaya-
It's a three day workshop most important part is Inistation (Shaktipat) process with mantra diksha. A very easy and perfect process to findout root causes of your life issues. https://t.co/Vl0UGxb2jy",1591498064518578177,2022-11-12T18:28:01.000Z
